,avg_delay,avg_byte_rate,avg_packet_rate,avg_packet_size,Protocol,NumericalProtocol
0,0.06809999999986757,0.5574826560951671,0.3097125867195373,1.8,Telnet,2
1,0.11060000000052242,0.3150414804615892,0.11668202980058859,2.7,Telnet,2
2,0.10860000000011497,0.19951893767249954,0.11084385426249974,1.8,Telnet,2
3,0.0838000000003376,0.4557781272076815,0.22788906360384076,2.0,Telnet,2
4,0.1264999999999418,0.5002501250625253,0.31265632816407835,1.6,Telnet,2
5,0.11779999999980646,0.1805151903532714,0.1805151903532714,1.0,Telnet,2
6,0.10079999999979919,0.3592470182497572,0.3592470182497572,1.0,Telnet,2
7,0.1195000000003347,1.1256122417937062,0.3042195248091098,3.7,Telnet,2
8,0.10029999999933352,0.21187338446544202,0.14124892297696134,1.5,Telnet,2
9,0.13059999999950378,0.2999400119976053,0.18746250749850332,1.6,Telnet,2
10,0.09619999999940773,0.6672449456195199,0.2224149818731733,3.0,Telnet,2
11,0.09430000000029395,0.1630599361736818,0.0776475886541342,2.1,Telnet,2
12,0.10209999999988213,0.6771903605454802,0.23351391742947594,2.9,Telnet,2
13,0.06590000000014698,0.025572744228231633,0.01704849615215442,1.5,Telnet,2
14,0.058300000000781435,0.7227022780832514,0.3142183817753267,2.3,Telnet,2
15,0.08000000000047294,0.021726715168971754,0.015519082263551254,1.4,Telnet,2
16,0.10129999999990105,0.6117704637220148,0.2447081854888059,2.5,Telnet,2
17,0.09220000000041181,0.11076562784331567,0.07911830560236834,1.4,Telnet,2
18,0.12100000000009459,0.14134801368843913,0.07439369141496797,1.9,Telnet,2
19,0.09910000000018045,0.11938255343364136,0.039794184477880454,3.0,Telnet,2
20,0.09760000000023865,0.5814892586011966,0.16152479405588796,3.6,Telnet,2
21,0.09769999999953143,0.21890291012104085,0.1287664177182593,1.7,Telnet,2
22,0.07090000000007421,0.4970614894301465,0.29238911142949797,1.7,Telnet,2
23,0.10899999999983265,0.07921827407146263,0.039609137035731316,2.0,Telnet,2
24,0.10620000000017171,0.1827440851831129,0.12182939012207525,1.5,Telnet,2
25,0.09509999999972933,1.2511468846442064,0.4170489615480688,3.0,Telnet,2
26,0.0944999999999709,0.4471330878484743,0.263019463440279,1.7,Telnet,2
27,0.08659999999981664,0.4574670051922405,0.22873350259612024,2.0,Telnet,2
28,0.1098999999998341,1.042460206086334,0.40094623311012845,2.6,Telnet,2
29,0.09830000000001746,0.6311745334796838,0.27442371020855816,2.3,Telnet,2
30,0.07660000000032596,0.27742329245963,0.110969316983852,2.5,Telnet,2
31,0.09129999999968277,0.5018777148988505,0.1730612809996036,2.9,Telnet,2
32,0.11069999999963329,0.30397189948662345,0.16887327749256859,1.8,Telnet,2
33,0.11450000000004365,0.40662528124916153,0.27108352083277437,1.5,Telnet,2
34,0.08389999999944849,0.5122458780214706,0.32015367376341913,1.6,Telnet,2
35,0.1136000000002241,0.5216613672495867,0.24841017488075556,2.1,Telnet,2
36,0.0933999999990192,0.7502478497361118,0.26794566062003994,2.8,Telnet,2
37,0.08179999999956636,0.11767197759525551,0.058835988797627754,2.0,Telnet,2
38,0.09760000000005675,1.3025821776109634,0.3831124051796951,3.4,Telnet,2
39,0.1088000000003376,0.6365951255001939,0.3031405359524733,2.1,Telnet,2
40,0.11269999999967695,0.12549703430692524,0.06605107068785539,1.9,Telnet,2
41,0.12430000000058498,0.47918538484577056,0.2994908655286066,1.6,Telnet,2
42,0.07999999999847204,0.4011691214396329,0.14327468622844033,2.8,Telnet,2
43,0.07889999999970314,0.5627813906953624,0.20843755210939346,2.7,Telnet,2
44,0.07989999999845168,0.265316951712317,0.10204498142781424,2.6,Telnet,2
45,0.11080000000110886,0.1795845610487763,0.06651280038843567,2.7,Telnet,2
46,0.07970000000132131,0.9188853920194239,0.22972134800485597,4.0,Telnet,2
47,0.09140000000079454,0.39688445701246716,0.24805278563279196,1.6,Telnet,2
48,0.07710000000079162,0.73994598394311,0.369972991971555,2.0,Telnet,2
49,0.08100000000013097,0.30053823666019586,0.13660828939099812,2.2,Telnet,2
50,0.11350000000093133,0.5779116099400725,0.30416400523161713,1.9,Telnet,2
51,0.0989000000001397,0.14723384415298144,0.12269487012748452,1.2,Telnet,2
52,0.08470000000015716,0.2895433487756515,0.20681667769689396,1.4,Telnet,2
53,0.10019999999858556,0.6649088616302041,0.22927891780351867,2.9,Telnet,2
54,0.08880000000026485,0.6823144104803094,0.3411572052401547,2.0,Telnet,2
55,0.10199999999895226,1.2808709922747379,0.4002721850858556,3.2,Telnet,2
